DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
56:18.0,52.633,-132.701,0,6.3,Unk,0,0,0,0,UW,604821
49:02.3,52.365,-131.902,9,6.2,Mw,579,,,1.13,NEI,2012103010
50:29.0,52.324,-131.908,0,6.2,Unk,0,0,0,0,UW,604826
17:32.7,9.212,126.158,37,6.1,Mw,526,,,1.03,NEI,2012110210
35:46.7,13.963,-91.854,24,7.4,Mw,739,,,1.14,NEI,2012110710
01:50.6,49.231,-128.477,13.7,6.1,Mw,613,,,1.17,NEI,2012110810
57:50.7,-8.866,-75.071,129,6,Mw,524,,,0.8,NEI,2012111010
12:38.9,23.005,95.885,13.7,6.8,Mw,391,,,1.05,NEI,2012111110
14:59.2,14.129,-92.164,20,6.5,Mw,598,,,1.08,NEI,2012111110
42:16.8,57.5884,-142.8765,10.93,6,Mb,136,,,0.99,AK,
31:26.8,-45.761,-77.053,9,6.1,Mw,208,,,1.06,NEI,2012111310
02:06.1,-29.118,-71.19,63,6.2,Mw,525,,,0.83,NEI,2012111410
20:21.9,18.346,-100.382,53,6.1,Mw,576,,,1.18,NEI,2012111510
12:39.9,49.28,155.425,29,6.5,Mw,793,,,0.81,NEI,2012111610
44:34.1,-5.705,151.602,13,6,Mw,430,,,0.88,NEI,2012111910
07:10.4,-22.742,-63.571,516.6,6,Mw,552,,,0.83,NEI,2012112210
37:39.0,-20.624,-177.048,247.5,6.2,ML,154,,,0.93,NEI,2012112910
54:22.7,-16.975,167.645,32,6.2,Mw,349,,,0.77,NEI,2012120210
18:23.1,37.89,143.949,31,7.3,Mw,918,,,0.91,NEI,2012120710
31:14.8,37.914,143.764,32,6.2,Mw,708,,,0.86,NEI,2012120710
